repo_name,owner,repo_url,description,language,topics,stars,updated_at,input_url,input_search_query,input_max_pages,warning,warning_code,error,error_code,snapshot_id,snapshot_date,categories,primary_category
CVHub520/X-AnyLabeling,CVHub520,https://github.com/CVHub520/X-AnyLabeling,,Python,"[""machine-learning"",""ocr"",""computer-vision"",""deep-learning"",""sam""]",10120,,https://github.com/search?q=topic%3Amachine-learning+stars%3A%3E50&type=repositories&s=updated&o=desc,topic:machine-learning stars:>50,15,,,,,raw_2026_08_20,2026-08-20,Computer Vision|Core ML & Deep Learning,Computer Vision
bitsandbytes-foundation/bitsandbytes,bitsandbytes-foundation,https://github.com/bitsandbytes-foundation/bitsandbytes,,Python,"[""machine-learning"",""pytorch"",""quantization"",""llm"",""qlora""]",8428,,https://github.com/search?q=topic%3Amachine-learning+stars%3A%3E50&type=repositories&s=updated&o=desc,topic:machine-learning stars:>50,15,,,,,raw_2026_08_20,2026-08-20,Core ML & Deep Learning,Core ML & Deep Learning
wonglaitung/fortune,wonglaitung,https://github.com/wonglaitung/fortune,,Python,"[""machine-learning"",""ai"",""bitcoin"",""ethereum"",""stock""]",74,,https://github.com/search?q=topic%3Amachine-learning+stars%3A%3E50&type=repositories&s=updated&o=desc,topic:machine-learning stars:>50,15,,,,,raw_2026_08_20,2026-08-20,Core ML & Deep Learning,Core ML & Deep Learning
autogluon/autogluon,autogluon,https://github.com/autogluon/autogluon,,Python,"[""python"",""data-science"",""machine-learning"",""natural-language-processing"",""computer-vision""]",10609,,https://github.com/search?q=topic%3Amachine-learning+stars%3A%3E50&type=repositories&s=updated&o=desc,topic:machine-learning stars:>50,15,,,,,raw_2026_08_20,2026-08-20,Computer Vision|Core ML & Deep Learning,Computer Vision
netdata/netdata,netdata,https://github.com/netdata/netdata,,Go,"[""mysql"",""linux"",""docker"",""kubernetes"",""devops""]",80229,,https://github.com/search?q=topic%3Amachine-learning+stars%3A%3E50&type=repositories&s=updated&o=desc,topic:machine-learning stars:>50,15,,,,,raw_2026_08_20,2026-08-20,MLOps & Orchestration,MLOps & Orchestration
xieguigang/sciBASIC,xieguigang,https://github.com/xieguigang/sciBASIC,,Visual Basic .NET,"[""data-science"",""machine-learning"",""data-mining"",""cnn"",""netcdf""]",76,,https://github.com/search?q=topic%3Amachine-learning+stars%3A%3E50&type=repositories&s=updated&o=desc,topic:machine-learning stars:>50,15,,,,,raw_2026_08_20,2026-08-20,Core ML & Deep Learning,Core ML & Deep Learning
ray-project/ray,ray-project,https://github.com/ray-project/ray,,Python,"[""python"",""data-science"",""machine-learning"",""reinforcement-learning"",""deep-learning""]",43559,,https://github.com/search?q=topic%3Amachine-learning+stars%3A%3E50&type=repositories&s=updated&o=desc,topic:machine-learning stars:>50,15,,,,,raw_2026_08_20,2026-08-20,Core ML & Deep Learning,Core ML & Deep Learning
deepnote/deepnote,deepnote,https://github.com/deepnote/deepnote,,TypeScript,"[""python"",""data-science"",""data"",""machine-learning"",""r""]",2999,,https://github.com/search?q=topic%3Amachine-learning+stars%3A%3E50&type=repositories&s=updated&o=desc,topic:machine-learning stars:>50,15,,,,,raw_2026_08_20,2026-08-20,Core ML & Deep Learning,Core ML & Deep Learning
pytorch/executorch,pytorch,https://github.com/pytorch/executorch,,Python,"[""machine-learning"",""mobile"",""embedded"",""deep-learning"",""neural-network""]",4934,,https://github.com/search?q=topic%3Amachine-learning+stars%3A%3E50&type=repositories&s=updated&o=desc,topic:machine-learning stars:>50,15,,,,,raw_2026_08_20,2026-08-20,Core ML & Deep Learning,Core ML & Deep Learning
apache/texera,apache,https://github.com/apache/texera,,Scala,"[""data-science"",""machine-learning"",""artificial-intelligence"",""cloud-native"",""ai-agents""]",273,,https://github.com/search?q=topic%3Amachine-learning+stars%3A%3E50&type=repositories&s=updated&o=desc,topic:machine-learning stars:>50,15,,,,,raw_2026_08_20,2026-08-20,AI Agents|Core ML & Deep Learning,AI Agents
