repo_name,owner,repo_url,description,language,topics,stars,updated_at,input,snapshot_id,snapshot_date
flwrlabs/flower,flwrlabs,https://github.com/flwrlabs/flower,,Python,"['android', 'python', 'raspberry-pi', 'ios', 'machine-learning']",7086,,"{'url': 'https://github.com/search?q=topic%3Amachine-learning+stars%3A%3E50&type=repositories&s=updated&o=desc', 'max_pages': 15, 'search_query': ''}",raw_2026_08_22,2026-08-22
VectorInstitute/odyssey,VectorInstitute,https://github.com/VectorInstitute/odyssey,,Python,"['machine-learning', 'transformers', 'pytorch', 'healthcare', 'survival-analysis']",61,,"{'url': 'https://github.com/search?q=topic%3Amachine-learning+stars%3A%3E50&type=repositories&s=updated&o=desc', 'max_pages': 15, 'search_query': ''}",raw_2026_08_22,2026-08-22
lakehq/sail,lakehq,https://github.com/lakehq/sail,,Rust,"['python', 'rust', 'machine-learning', 'sql', 'big-data']",3323,,"{'url': 'https://github.com/search?q=topic%3Amachine-learning+stars%3A%3E50&type=repositories&s=updated&o=desc', 'max_pages': 15, 'search_query': ''}",raw_2026_08_22,2026-08-22
zapplyjobs/New-Grad-Data-Science-Jobs-2027,zapplyjobs,https://github.com/zapplyjobs/New-Grad-Data-Science-Jobs-2027,,HTML,"['data-science', 'data', 'machine-learning', 'ai', 'jobs']",70,,"{'url': 'https://github.com/search?q=topic%3Amachine-learning+stars%3A%3E50&type=repositories&s=updated&o=desc', 'max_pages': 15, 'search_query': ''}",raw_2026_08_22,2026-08-22
zapplyjobs/awesome-ml-internships,zapplyjobs,https://github.com/zapplyjobs/awesome-ml-internships,,Unknown,"['data-science', 'machine-learning', 'awesome-list', 'internships', 'awesome-resources']",452,,"{'url': 'https://github.com/search?q=topic%3Amachine-learning+stars%3A%3E50&type=repositories&s=updated&o=desc', 'max_pages': 15, 'search_query': ''}",raw_2026_08_22,2026-08-22
tensorflow/tensorflow,tensorflow,https://github.com/tensorflow/tensorflow,,C++,"['python', 'machine-learning', 'deep-neural-networks', 'deep-learning', 'neural-network']",197319,,"{'url': 'https://github.com/search?q=topic%3Amachine-learning+stars%3A%3E50&type=repositories&s=updated&o=desc', 'max_pages': 15, 'search_query': ''}",raw_2026_08_22,2026-08-22
arc53/DocsGPT,arc53,https://github.com/arc53/DocsGPT,,Python,"['react', 'python', 'search', 'machine-learning', 'natural-language-processing']",18220,,"{'url': 'https://github.com/search?q=topic%3Amachine-learning+stars%3A%3E50&type=repositories&s=updated&o=desc', 'max_pages': 15, 'search_query': ''}",raw_2026_08_22,2026-08-22
christopherkarani/Wax,christopherkarani,https://github.com/christopherkarani/Wax,,Swift,"['swift', 'cli', 'data-science', 'machine-learning', 'metal']",786,,"{'url': 'https://github.com/search?q=topic%3Amachine-learning+stars%3A%3E50&type=repositories&s=updated&o=desc', 'max_pages': 15, 'search_query': ''}",raw_2026_08_22,2026-08-22
QuantumNovice/awesome-civil-engineering,QuantumNovice,https://github.com/QuantumNovice/awesome-civil-engineering,,Python,"['javascript', 'python', 'rust', 'machine-learning', 'awesome']",83,,"{'url': 'https://github.com/search?q=topic%3Amachine-learning+stars%3A%3E50&type=repositories&s=updated&o=desc', 'max_pages': 15, 'search_query': ''}",raw_2026_08_22,2026-08-22
grandgaming9321-prog/reality-engine,grandgaming9321-prog,https://github.com/grandgaming9321-prog/reality-engine,,HTML,"['python', 'open-source', 'machine-learning', 'reinforcement-learning', 'ai']",123,,"{'url': 'https://github.com/search?q=topic%3Amachine-learning+stars%3A%3E50&type=repositories&s=updated&o=desc', 'max_pages': 15, 'search_query': ''}",raw_2026_08_22,2026-08-22
initial-d/ml-quant-trading,initial-d,https://github.com/initial-d/ml-quant-trading,,Python,"['machine-learning', 'deep-learning', 'pytorch', 'transformer', 'portfolio-optimization']",77,,"{'url': 'https://github.com/search?q=topic%3Amachine-learning+stars%3A%3E50&type=repositories&s=updated&o=desc', 'max_pages': 15, 'search_query': ''}",raw_2026_08_22,2026-08-22
attevon-llc/OpenTranscribe,attevon-llc,https://github.com/attevon-llc/OpenTranscribe,,Python,"['nlp', 'docker', 'open-source', 'machine-learning', 'ai']",86,,"{'url': 'https://github.com/search?q=topic%3Amachine-learning+stars%3A%3E50&type=repositories&s=updated&o=desc', 'max_pages': 15, 'search_query': ''}",raw_2026_08_22,2026-08-22
Heiaha/Weiawaga,Heiaha,https://github.com/Heiaha/Weiawaga,,Rust,"['rust', 'machine-learning', 'chess-engine', 'chess', 'ai']",59,,"{'url': 'https://github.com/search?q=topic%3Amachine-learning+stars%3A%3E50&type=repositories&s=updated&o=desc', 'max_pages': 15, 'search_query': ''}",raw_2026_08_22,2026-08-22
Hazrat-Ali9/AI-ML-Core-Foundations,Hazrat-Ali9,https://github.com/Hazrat-Ali9/AI-ML-Core-Foundations,,Jupyter Notebook,"['javascript', 'python', 'machine-learning', 'foundation', 'artificial-intelligence']",54,,"{'url': 'https://github.com/search?q=topic%3Amachine-learning+stars%3A%3E50&type=repositories&s=updated&o=desc', 'max_pages': 15, 'search_query': ''}",raw_2026_08_22,2026-08-22
open-edge-platform/geti,open-edge-platform,https://github.com/open-edge-platform/geti,,Python,"['machine-learning', 'computer-vision', 'deep-learning', 'pytorch', 'semi-supervised-learning']",1316,,"{'url': 'https://github.com/search?q=topic%3Amachine-learning+stars%3A%3E50&type=repositories&s=updated&o=desc', 'max_pages': 15, 'search_query': ''}",raw_2026_08_22,2026-08-22
zimingttkx/AI-Practices,zimingttkx,https://github.com/zimingttkx/AI-Practices,,Jupyter Notebook,"['python', 'data-science', 'machine-learning', 'tutorial', 'ai']",459,,"{'url': 'https://github.com/search?q=topic%3Amachine-learning+stars%3A%3E50&type=repositories&s=updated&o=desc', 'max_pages': 15, 'search_query': ''}",raw_2026_08_22,2026-08-22
kubeflow/trainer,kubeflow,https://github.com/kubeflow/trainer,,Go,"['python', 'kubernetes', 'machine-learning', 'ai', 'tensorflow']",2193,,"{'url': 'https://github.com/search?q=topic%3Amachine-learning+stars%3A%3E50&type=repositories&s=updated&o=desc', 'max_pages': 15, 'search_query': ''}",raw_2026_08_22,2026-08-22
