repo_name,owner,repo_url,description,language,topics,stars,updated_at,input_url,input_search_query,input_max_pages,warning,warning_code,error,error_code,snapshot_id,snapshot_date
zapplyjobs/New-Grad-Data-Science-Jobs-2027,zapplyjobs,https://github.com/zapplyjobs/New-Grad-Data-Science-Jobs-2027,,HTML,"[""data-science"",""data"",""machine-learning"",""ai"",""jobs""]",69,,https://github.com/search?q=topic%3Amachine-learning+stars%3A%3E50&type=repositories&s=updated&o=desc,topic:machine-learning stars:>50,15,,,,,raw_2026_08_20,2026-08-20
pytorch/pytorch,pytorch,https://github.com/pytorch/pytorch,,Python,"[""python"",""machine-learning"",""deep-learning"",""neural-network"",""gpu""]",102483,,https://github.com/search?q=topic%3Amachine-learning+stars%3A%3E50&type=repositories&s=updated&o=desc,topic:machine-learning stars:>50,15,,,,,raw_2026_08_20,2026-08-20
tensorflow/tensorflow,tensorflow,https://github.com/tensorflow/tensorflow,,C++,"[""python"",""machine-learning"",""deep-neural-networks"",""deep-learning"",""neural-network""]",197067,,https://github.com/search?q=topic%3Amachine-learning+stars%3A%3E50&type=repositories&s=updated&o=desc,topic:machine-learning stars:>50,15,,,,,raw_2026_08_20,2026-08-20
marcelwa/aigverse,marcelwa,https://github.com/marcelwa/aigverse,,Python,"[""python"",""machine-learning"",""verilog"",""logic-synthesis"",""aiger""]",88,,https://github.com/search?q=topic%3Amachine-learning+stars%3A%3E50&type=repositories&s=updated&o=desc,topic:machine-learning stars:>50,15,,,,,raw_2026_08_20,2026-08-20
voxel51/fiftyone,voxel51,https://github.com/voxel51/fiftyone,,TypeScript,"[""visualization"",""python"",""data-science"",""machine-learning"",""computer-vision""]",11017,,https://github.com/search?q=topic%3Amachine-learning+stars%3A%3E50&type=repositories&s=updated&o=desc,topic:machine-learning stars:>50,15,,,,,raw_2026_08_20,2026-08-20
skyportal/skyportal,skyportal,https://github.com/skyportal/skyportal,,Python,"[""machine-learning"",""astronomy"",""lsst"",""collaborative-research"",""variable-stars""]",130,,https://github.com/search?q=topic%3Amachine-learning+stars%3A%3E50&type=repositories&s=updated&o=desc,topic:machine-learning stars:>50,15,,,,,raw_2026_08_20,2026-08-20
kubeflow/kale,kubeflow,https://github.com/kubeflow/kale,,Python,"[""machine-learning"",""jupyter-notebook"",""kubeflow"",""kubeflow-pipelines""]",702,,https://github.com/search?q=topic%3Amachine-learning+stars%3A%3E50&type=repositories&s=updated&o=desc,topic:machine-learning stars:>50,15,,,,,raw_2026_08_20,2026-08-20
stas00/ml-engineering,stas00,https://github.com/stas00/ml-engineering,,Python,"[""training"",""debugging"",""machine-learning"",""ai"",""storage""]",18655,,https://github.com/search?q=topic%3Amachine-learning+stars%3A%3E50&type=repositories&s=updated&o=desc,topic:machine-learning stars:>50,15,,,,,raw_2026_08_20,2026-08-20
qualcomm/aimet,qualcomm,https://github.com/qualcomm/aimet,,Python,"[""open-source"",""machine-learning"",""opensource"",""deep-neural-networks"",""compression""]",2682,,https://github.com/search?q=topic%3Amachine-learning+stars%3A%3E50&type=repositories&s=updated&o=desc,topic:machine-learning stars:>50,15,,,,,raw_2026_08_20,2026-08-20
grandgaming9321-prog/reality-engine,grandgaming9321-prog,https://github.com/grandgaming9321-prog/reality-engine,,HTML,"[""python"",""open-source"",""machine-learning"",""reinforcement-learning"",""ai""]",123,,https://github.com/search?q=topic%3Amachine-learning+stars%3A%3E50&type=repositories&s=updated&o=desc,topic:machine-learning stars:>50,15,,,,,raw_2026_08_20,2026-08-20
bodo-ai/Bodo,bodo-ai,https://github.com/bodo-ai/Bodo,,Python,"[""python"",""data-science"",""machine-learning"",""sql"",""big-data""]",374,,https://github.com/search?q=topic%3Amachine-learning+stars%3A%3E50&type=repositories&s=updated&o=desc,topic:machine-learning stars:>50,15,,,,,raw_2026_08_20,2026-08-20
inclusionAI/AReno,inclusionAI,https://github.com/inclusionAI/AReno,,Python,"[""agent"",""machine-learning"",""reinforcement-learning"",""self-hosted"",""rl""]",291,,https://github.com/search?q=topic%3Amachine-learning+stars%3A%3E50&type=repositories&s=updated&o=desc,topic:machine-learning stars:>50,15,,,,,raw_2026_08_20,2026-08-20
NVIDIA/torch-harmonics,NVIDIA,https://github.com/NVIDIA/torch-harmonics,,Jupyter Notebook,"[""machine-learning"",""signal-processing"",""sphere"",""pytorch""]",697,,https://github.com/search?q=topic%3Amachine-learning+stars%3A%3E50&type=repositories&s=updated&o=desc,topic:machine-learning stars:>50,15,,,,,raw_2026_08_20,2026-08-20
skypilot-org/skypilot,skypilot-org,https://github.com/skypilot-org/skypilot,,Python,"[""machine-learning"",""deep-learning"",""gpu"",""job-scheduler"",""slurm""]",10511,,https://github.com/search?q=topic%3Amachine-learning+stars%3A%3E50&type=repositories&s=updated&o=desc,topic:machine-learning stars:>50,15,,,,,raw_2026_08_20,2026-08-20
allenai/ScienceWorld,allenai,https://github.com/allenai/ScienceWorld,,Scala,"[""machine-learning"",""reinforcement-learning"",""language-model"",""text-based-game"",""text-based-game-framework""]",381,,https://github.com/search?q=topic%3Amachine-learning+stars%3A%3E50&type=repositories&s=updated&o=desc,topic:machine-learning stars:>50,15,,,,,raw_2026_08_20,2026-08-20
google-ai-edge/mediapipe,google-ai-edge,https://github.com/google-ai-edge/mediapipe,,C++,"[""android"",""c-plus-plus"",""calculator"",""machine-learning"",""framework""]",36665,,https://github.com/search?q=topic%3Amachine-learning+stars%3A%3E50&type=repositories&s=updated&o=desc,topic:machine-learning stars:>50,15,,,,,raw_2026_08_20,2026-08-20
mozilla/bugbug,mozilla,https://github.com/mozilla/bugbug,,Python,"[""python"",""machine-learning"",""ai"",""ml"",""developer-tools""]",569,,https://github.com/search?q=topic%3Amachine-learning+stars%3A%3E50&type=repositories&s=updated&o=desc,topic:machine-learning stars:>50,15,,,,,raw_2026_08_20,2026-08-20
SciML/ReservoirComputing.jl,SciML,https://github.com/SciML/ReservoirComputing.jl,,Julia,"[""machine-learning"",""julia"",""rnn"",""differential-equations"",""echo-state-networks""]",232,,https://github.com/search?q=topic%3Amachine-learning+stars%3A%3E50&type=repositories&s=updated&o=desc,topic:machine-learning stars:>50,15,,,,,raw_2026_08_20,2026-08-20
deepspeedai/DeepSpeed,deepspeedai,https://github.com/deepspeedai/DeepSpeed,,Python,"[""machine-learning"",""compression"",""deep-learning"",""gpu"",""inference""]",42961,,https://github.com/search?q=topic%3Amachine-learning+stars%3A%3E50&type=repositories&s=updated&o=desc,topic:machine-learning stars:>50,15,,,,,raw_2026_08_20,2026-08-20
PriorLabs/tabpfn-extensions,PriorLabs,https://github.com/PriorLabs/tabpfn-extensions,,Python,"[""data-science"",""machine-learning"",""tabular-data"",""tabpfn""]",323,,https://github.com/search?q=topic%3Amachine-learning+stars%3A%3E50&type=repositories&s=updated&o=desc,topic:machine-learning stars:>50,15,,,,,raw_2026_08_20,2026-08-20
reunios2024/cortex-sentinel-trading-nexus,reunios2024,https://github.com/reunios2024/cortex-sentinel-trading-nexus,,HTML,"[""python"",""machine-learning"",""reinforcement-learning"",""trading-bot"",""pytorch""]",118,,https://github.com/search?q=topic%3Amachine-learning+stars%3A%3E50&type=repositories&s=updated&o=desc,topic:machine-learning stars:>50,15,,,,,raw_2026_08_20,2026-08-20
JuliaLang/julia,JuliaLang,https://github.com/JuliaLang/julia,,Julia,"[""programming-language"",""science"",""machine-learning"",""hpc"",""julia""]",49018,,https://github.com/search?q=topic%3Amachine-learning+stars%3A%3E50&type=repositories&s=updated&o=desc,topic:machine-learning stars:>50,15,,,,,raw_2026_08_20,2026-08-20
screenpipe/screenpipe,screenpipe,https://github.com/screenpipe/screenpipe,,Rust,"[""machine-learning"",""privacy"",""ai"",""computer-vision"",""mcp""]",21110,,https://github.com/search?q=topic%3Amachine-learning+stars%3A%3E50&type=repositories&s=updated&o=desc,topic:machine-learning stars:>50,15,,,,,raw_2026_08_20,2026-08-20
onlyoneshakibul/magic-eraser-studio,onlyoneshakibul,https://github.com/onlyoneshakibul/magic-eraser-studio,,HTML,"[""machine-learning"",""computer-vision"",""image-processing"",""image-editing"",""artificial-intelligence""]",115,,https://github.com/search?q=topic%3Amachine-learning+stars%3A%3E50&type=repositories&s=updated&o=desc,topic:machine-learning stars:>50,15,,,,,raw_2026_08_20,2026-08-20
jaimasih05-commits/swarm-foraging-qlearn,jaimasih05-commits,https://github.com/jaimasih05-commits/swarm-foraging-qlearn,,HTML,"[""python"",""machine-learning"",""reinforcement-learning"",""simulation"",""decision-making""]",117,,https://github.com/search?q=topic%3Amachine-learning+stars%3A%3E50&type=repositories&s=updated&o=desc,topic:machine-learning stars:>50,15,,,,,raw_2026_08_20,2026-08-20
MakazhanAlpamys/Soup,MakazhanAlpamys,https://github.com/MakazhanAlpamys/Soup,,Python,"[""python"",""cli"",""machine-learning"",""transformers"",""pytorch""]",2410,,https://github.com/search?q=topic%3Amachine-learning+stars%3A%3E50&type=repositories&s=updated&o=desc,topic:machine-learning stars:>50,15,,,,,raw_2026_08_20,2026-08-20
paperless-ngx/paperless-ngx,paperless-ngx,https://github.com/paperless-ngx/paperless-ngx,,Python,"[""pdf"",""machine-learning"",""django"",""angular"",""ocr""]",44412,,https://github.com/search?q=topic%3Amachine-learning+stars%3A%3E50&type=repositories&s=updated&o=desc,topic:machine-learning stars:>50,15,,,,,raw_2026_08_20,2026-08-20
huggingface/transformers,huggingface,https://github.com/huggingface/transformers,,Python,"[""audio"",""python"",""nlp"",""machine-learning"",""natural-language-processing""]",164264,,https://github.com/search?q=topic%3Amachine-learning+stars%3A%3E50&type=repositories&s=updated&o=desc,topic:machine-learning stars:>50,15,,,,,raw_2026_08_20,2026-08-20
Sujal-142/ai-image-clean-eraser,Sujal-142,https://github.com/Sujal-142/ai-image-clean-eraser,,HTML,"[""machine-learning"",""ocr"",""computer-vision"",""image-processing"",""image-editing""]",119,,https://github.com/search?q=topic%3Amachine-learning+stars%3A%3E50&type=repositories&s=updated&o=desc,topic:machine-learning stars:>50,15,,,,,raw_2026_08_20,2026-08-20
google/bigframes,google,https://github.com/google/bigframes,,Python,"[""python"",""bigquery"",""data-science"",""machine-learning""]",288,,https://github.com/search?q=topic%3Amachine-learning+stars%3A%3E50&type=repositories&s=updated&o=desc,topic:machine-learning stars:>50,15,,,,,raw_2026_08_20,2026-08-20
mne-tools/mne-python,mne-tools,https://github.com/mne-tools/mne-python,,Python,"[""visualization"",""python"",""machine-learning"",""statistics"",""neuroscience""]",3490,,https://github.com/search?q=topic%3Amachine-learning+stars%3A%3E50&type=repositories&s=updated&o=desc,topic:machine-learning stars:>50,15,,,,,raw_2026_08_20,2026-08-20
lance-format/lance,lance-format,https://github.com/lance-format/lance,,Rust,"[""python"",""rust"",""data-science"",""machine-learning"",""computer-vision""]",6948,,https://github.com/search?q=topic%3Amachine-learning+stars%3A%3E50&type=repositories&s=updated&o=desc,topic:machine-learning stars:>50,15,,,,,raw_2026_08_20,2026-08-20
MinishLab/model2vec,MinishLab,https://github.com/MinishLab/model2vec,,Python,"[""python"",""nlp"",""machine-learning"",""ai"",""word-embeddings""]",2179,,https://github.com/search?q=topic%3Amachine-learning+stars%3A%3E50&type=repositories&s=updated&o=desc,topic:machine-learning stars:>50,15,,,,,raw_2026_08_20,2026-08-20
nilearn/nilearn,nilearn,https://github.com/nilearn/nilearn,,Python,"[""python"",""machine-learning"",""decoding"",""neuroimaging"",""fmri""]",1425,,https://github.com/search?q=topic%3Amachine-learning+stars%3A%3E50&type=repositories&s=updated&o=desc,topic:machine-learning stars:>50,15,,,,,raw_2026_08_20,2026-08-20
uxlfoundation/oneDAL,uxlfoundation,https://github.com/uxlfoundation/oneDAL,,C++,"[""data-science"",""machine-learning"",""big-data"",""analytics"",""cpp""]",651,,https://github.com/search?q=topic%3Amachine-learning+stars%3A%3E50&type=repositories&s=updated&o=desc,topic:machine-learning stars:>50,15,,,,,raw_2026_08_20,2026-08-20
sheaf-lang/sheaf,sheaf-lang,https://github.com/sheaf-lang/sheaf,,Rust,"[""rust"",""machine-learning"",""lisp"",""compiler"",""functional-programming""]",54,,https://github.com/search?q=topic%3Amachine-learning+stars%3A%3E50&type=repositories&s=updated&o=desc,topic:machine-learning stars:>50,15,,,,,raw_2026_08_20,2026-08-20
SuperCowPowers/workbench,SuperCowPowers,https://github.com/SuperCowPowers/workbench,,Python,"[""python"",""aws"",""machine-learning"",""big-data"",""spark""]",51,,https://github.com/search?q=topic%3Amachine-learning+stars%3A%3E50&type=repositories&s=updated&o=desc,topic:machine-learning stars:>50,15,,,,,raw_2026_08_20,2026-08-20
root-project/root,root-project,https://github.com/root-project/root,,C++,"[""visualization"",""python"",""c-plus-plus"",""machine-learning"",""statistics""]",3283,,https://github.com/search?q=topic%3Amachine-learning+stars%3A%3E50&type=repositories&s=updated&o=desc,topic:machine-learning stars:>50,15,,,,,raw_2026_08_20,2026-08-20
marimo-team/marimo,marimo-team,https://github.com/marimo-team/marimo,,Python,"[""python"",""data-science"",""machine-learning"",""reactive"",""sql""]",22401,,https://github.com/search?q=topic%3Amachine-learning+stars%3A%3E50&type=repositories&s=updated&o=desc,topic:machine-learning stars:>50,15,,,,,raw_2026_08_20,2026-08-20
Nixtla/mlforecast,Nixtla,https://github.com/Nixtla/mlforecast,,Python,"[""python"",""machine-learning"",""time-series"",""forecast"",""xgboost""]",1269,,https://github.com/search?q=topic%3Amachine-learning+stars%3A%3E50&type=repositories&s=updated&o=desc,topic:machine-learning stars:>50,15,,,,,raw_2026_08_20,2026-08-20
superiorlu/AITreasureBox,superiorlu,https://github.com/superiorlu/AITreasureBox,,Ruby,"[""machine-learning"",""ai"",""deep-learning"",""mcp"",""agi""]",855,,https://github.com/search?q=topic%3Amachine-learning+stars%3A%3E50&type=repositories&s=updated&o=desc,topic:machine-learning stars:>50,15,,,,,raw_2026_08_20,2026-08-20
SwanHubX/SwanLab,SwanHubX,https://github.com/SwanHubX/SwanLab,,Python,"[""visualization"",""python"",""training"",""tracking"",""data-science""]",4159,,https://github.com/search?q=topic%3Amachine-learning+stars%3A%3E50&type=repositories&s=updated&o=desc,topic:machine-learning stars:>50,15,,,,,raw_2026_08_20,2026-08-20
