repo_name,owner,repo_url,description,language,topics,stars,updated_at,input,snapshot_id,snapshot_date
pytorch/rl,pytorch,https://github.com/pytorch/rl,,Python,"['machine-learning', 'control', 'reinforcement-learning', 'ai', 'robotics']",3528,,"{'url': 'https://github.com/search?q=topic%3Amachine-learning+stars%3A%3E50&type=repositories&s=updated&o=desc', 'max_pages': 15, 'search_query': ''}",raw_2026_08_21,2026-08-21
nautechsystems/nautilus_trader,nautechsystems,https://github.com/nautechsystems/nautilus_trader,,Rust,"['python', 'rust', 'machine-learning', 'trading', 'forex']",27000,,"{'url': 'https://github.com/search?q=topic%3Amachine-learning+stars%3A%3E50&type=repositories&s=updated&o=desc', 'max_pages': 15, 'search_query': ''}",raw_2026_08_21,2026-08-21
vespa-engine/vespa,vespa-engine,https://github.com/vespa-engine/vespa,,Java,"['search', 'java', 'search-engine', 'machine-learning', 'big-data']",7057,,"{'url': 'https://github.com/search?q=topic%3Amachine-learning+stars%3A%3E50&type=repositories&s=updated&o=desc', 'max_pages': 15, 'search_query': ''}",raw_2026_08_21,2026-08-21
gorse-io/gorse,gorse-io,https://github.com/gorse-io/gorse,,Go,"['go', 'machine-learning', 'collaborative-filtering', 'recommender-system', 'knn']",9800,,"{'url': 'https://github.com/search?q=topic%3Amachine-learning+stars%3A%3E50&type=repositories&s=updated&o=desc', 'max_pages': 15, 'search_query': ''}",raw_2026_08_21,2026-08-21
Carl-McBride-Ellis/Compendium-of-free-ML-reading-resources,Carl-McBride-Ellis,https://github.com/Carl-McBride-Ellis/Compendium-of-free-ML-reading-resources,,Unknown,"['machine-learning', 'statistics', 'random-forest', 'svm', 'linear-regression']",555,,"{'url': 'https://github.com/search?q=topic%3Amachine-learning+stars%3A%3E50&type=repositories&s=updated&o=desc', 'max_pages': 15, 'search_query': ''}",raw_2026_08_21,2026-08-21
ddmms/ml-peg,ddmms,https://github.com/ddmms/ml-peg,,Python,"['benchmarking', 'machine-learning', 'validation', 'interatomic-potentials', 'ai-for-science']",56,,"{'url': 'https://github.com/search?q=topic%3Amachine-learning+stars%3A%3E50&type=repositories&s=updated&o=desc', 'max_pages': 15, 'search_query': ''}",raw_2026_08_21,2026-08-21
PriorLabs/TabPFN,PriorLabs,https://github.com/PriorLabs/TabPFN,,Python,"['data-science', 'machine-learning', 'tabular-data', 'foundation-models', 'tabpfn']",7829,,"{'url': 'https://github.com/search?q=topic%3Amachine-learning+stars%3A%3E50&type=repositories&s=updated&o=desc', 'max_pages': 15, 'search_query': ''}",raw_2026_08_21,2026-08-21
Comfy-Org/ComfyUI_frontend,Comfy-Org,https://github.com/Comfy-Org/ComfyUI_frontend,,TypeScript,"['machine-learning', 'generative-ai']",1976,,"{'url': 'https://github.com/search?q=topic%3Amachine-learning+stars%3A%3E50&type=repositories&s=updated&o=desc', 'max_pages': 15, 'search_query': ''}",raw_2026_08_21,2026-08-21
scverse/scanpy,scverse,https://github.com/scverse/scanpy,,Python,"['python', 'data-science', 'machine-learning', 'bioinformatics', 'transcriptomics']",2543,,"{'url': 'https://github.com/search?q=topic%3Amachine-learning+stars%3A%3E50&type=repositories&s=updated&o=desc', 'max_pages': 15, 'search_query': ''}",raw_2026_08_21,2026-08-21
soda-inria/tabicl,soda-inria,https://github.com/soda-inria/tabicl,,Python,"['machine-learning', 'deep-learning', 'tabular-data', 'tabular-methods', 'tabular-model']",1297,,"{'url': 'https://github.com/search?q=topic%3Amachine-learning+stars%3A%3E50&type=repositories&s=updated&o=desc', 'max_pages': 15, 'search_query': ''}",raw_2026_08_21,2026-08-21
