repo_name,owner,repo_url,description,language,topics,stars,updated_at,input_url,input_search_query,input_max_pages,warning,warning_code,error,error_code,snapshot_id,snapshot_date
nautechsystems/nautilus_trader,nautechsystems,https://github.com/nautechsystems/nautilus_trader,,Rust,"[""python"",""rust"",""machine-learning"",""trading"",""forex""]",26230,,https://github.com/search?q=topic%3Amachine-learning+stars%3A%3E50&type=repositories&s=updated&o=desc,topic:machine-learning stars:>50,15,,,,,raw_2026_08_19,2026-08-19
tracel-ai/burn,tracel-ai,https://github.com/tracel-ai/burn,,Rust,"[""rust"",""machine-learning"",""deep-learning"",""metal"",""cross-platform""]",15766,,https://github.com/search?q=topic%3Amachine-learning+stars%3A%3E50&type=repositories&s=updated&o=desc,topic:machine-learning stars:>50,15,,,,,raw_2026_08_19,2026-08-19
voxel51/fiftyone,voxel51,https://github.com/voxel51/fiftyone,,TypeScript,"[""visualization"",""python"",""data-science"",""machine-learning"",""computer-vision""]",11018,,https://github.com/search?q=topic%3Amachine-learning+stars%3A%3E50&type=repositories&s=updated&o=desc,topic:machine-learning stars:>50,15,,,,,raw_2026_08_19,2026-08-19
wonglaitung/fortune,wonglaitung,https://github.com/wonglaitung/fortune,,Python,"[""machine-learning"",""ai"",""bitcoin"",""ethereum"",""stock""]",74,,https://github.com/search?q=topic%3Amachine-learning+stars%3A%3E50&type=repositories&s=updated&o=desc,topic:machine-learning stars:>50,15,,,,,raw_2026_08_19,2026-08-19
strands-agents/tools,strands-agents,https://github.com/strands-agents/tools,,Python,"[""python"",""machine-learning"",""ai"",""mcp"",""bedrock""]",1151,,https://github.com/search?q=topic%3Amachine-learning+stars%3A%3E50&type=repositories&s=updated&o=desc,topic:machine-learning stars:>50,15,,,,,raw_2026_08_19,2026-08-19
dmlc/xgboost,dmlc,https://github.com/dmlc/xgboost,,C++,"[""distributed-systems"",""machine-learning"",""xgboost"",""gbdt"",""gbm""]",28666,,https://github.com/search?q=topic%3Amachine-learning+stars%3A%3E50&type=repositories&s=updated&o=desc,topic:machine-learning stars:>50,15,,,,,raw_2026_08_19,2026-08-19
TissueImageAnalytics/tiatoolbox,TissueImageAnalytics,https://github.com/TissueImageAnalytics/tiatoolbox,,Python,"[""python"",""machine-learning"",""deep-learning"",""image-analysis"",""cell-segmentation""]",544,,https://github.com/search?q=topic%3Amachine-learning+stars%3A%3E50&type=repositories&s=updated&o=desc,topic:machine-learning stars:>50,15,,,,,raw_2026_08_19,2026-08-19
SwanHubX/SwanLab,SwanHubX,https://github.com/SwanHubX/SwanLab,,Python,"[""visualization"",""python"",""training"",""tracking"",""data-science""]",4158,,https://github.com/search?q=topic%3Amachine-learning+stars%3A%3E50&type=repositories&s=updated&o=desc,topic:machine-learning stars:>50,15,,,,,raw_2026_08_19,2026-08-19
stefan-jansen/machine-learning-for-trading,stefan-jansen,https://github.com/stefan-jansen/machine-learning-for-trading,,Jupyter Notebook,"[""finance"",""data-science"",""machine-learning"",""reinforcement-learning"",""deep-learning""]",20501,,https://github.com/search?q=topic%3Amachine-learning+stars%3A%3E50&type=repositories&s=updated&o=desc,topic:machine-learning stars:>50,15,,,,,raw_2026_08_19,2026-08-19
ringgaard/sling,ringgaard,https://github.com/ringgaard/sling,,C++,"[""nlp"",""machine-learning"",""natural-language-processing"",""neural-network"",""wikidata""]",178,,https://github.com/search?q=topic%3Amachine-learning+stars%3A%3E50&type=repositories&s=updated&o=desc,topic:machine-learning stars:>50,15,,,,,raw_2026_08_19,2026-08-19
nebius/soperator,nebius,https://github.com/nebius/soperator,,Go,"[""kubernetes"",""machine-learning"",""hpc"",""ml"",""slurm""]",416,,https://github.com/search?q=topic%3Amachine-learning+stars%3A%3E50&type=repositories&s=updated&o=desc,topic:machine-learning stars:>50,15,,,,,raw_2026_08_19,2026-08-19
apache/airflow,apache,https://github.com/apache/airflow,,Python,"[""python"",""workflow"",""data-science"",""machine-learning"",""airflow""]",46521,,https://github.com/search?q=topic%3Amachine-learning+stars%3A%3E50&type=repositories&s=updated&o=desc,topic:machine-learning stars:>50,15,,,,,raw_2026_08_19,2026-08-19
paperless-ngx/paperless-ngx,paperless-ngx,https://github.com/paperless-ngx/paperless-ngx,,Python,"[""pdf"",""machine-learning"",""django"",""angular"",""ocr""]",44375,,https://github.com/search?q=topic%3Amachine-learning+stars%3A%3E50&type=repositories&s=updated&o=desc,topic:machine-learning stars:>50,15,,,,,raw_2026_08_19,2026-08-19
SuperCowPowers/workbench,SuperCowPowers,https://github.com/SuperCowPowers/workbench,,Python,"[""python"",""aws"",""machine-learning"",""big-data"",""spark""]",51,,https://github.com/search?q=topic%3Amachine-learning+stars%3A%3E50&type=repositories&s=updated&o=desc,topic:machine-learning stars:>50,15,,,,,raw_2026_08_19,2026-08-19
aminekago-web/Paradigm-Survival-Arena,aminekago-web,https://github.com/aminekago-web/Paradigm-Survival-Arena,,HTML,"[""javascript"",""game"",""python"",""machine-learning"",""reinforcement-learning""]",117,,https://github.com/search?q=topic%3Amachine-learning+stars%3A%3E50&type=repositories&s=updated&o=desc,topic:machine-learning stars:>50,15,,,,,raw_2026_08_19,2026-08-19
okesipoke/manuscript-phoneme-decipher,okesipoke,https://github.com/okesipoke/manuscript-phoneme-decipher,,HTML,"[""nlp"",""machine-learning"",""deep-learning"",""algorithms"",""artificial-intelligence""]",116,,https://github.com/search?q=topic%3Amachine-learning+stars%3A%3E50&type=repositories&s=updated&o=desc,topic:machine-learning stars:>50,15,,,,,raw_2026_08_19,2026-08-19
lance-format/lance,lance-format,https://github.com/lance-format/lance,,Rust,"[""python"",""rust"",""data-science"",""machine-learning"",""computer-vision""]",6946,,https://github.com/search?q=topic%3Amachine-learning+stars%3A%3E50&type=repositories&s=updated&o=desc,topic:machine-learning stars:>50,15,,,,,raw_2026_08_19,2026-08-19
pytorch/TensorRT,pytorch,https://github.com/pytorch/TensorRT,,Python,"[""machine-learning"",""deep-learning"",""cuda"",""pytorch"",""nvidia""]",2985,,https://github.com/search?q=topic%3Amachine-learning+stars%3A%3E50&type=repositories&s=updated&o=desc,topic:machine-learning stars:>50,15,,,,,raw_2026_08_19,2026-08-19
NVIDIA/cuml,NVIDIA,https://github.com/NVIDIA/cuml,,Python,"[""machine-learning"",""gpu"",""machine-learning-algorithms"",""cuda"",""nvidia""]",5254,,https://github.com/search?q=topic%3Amachine-learning+stars%3A%3E50&type=repositories&s=updated&o=desc,topic:machine-learning stars:>50,15,,,,,raw_2026_08_19,2026-08-19
pravin6688/churn-triad-insights,pravin6688,https://github.com/pravin6688/churn-triad-insights,,HTML,"[""python"",""machine-learning"",""excel"",""data-analytics"",""logistic-regression""]",115,,https://github.com/search?q=topic%3Amachine-learning+stars%3A%3E50&type=repositories&s=updated&o=desc,topic:machine-learning stars:>50,15,,,,,raw_2026_08_19,2026-08-19
pytorch/executorch,pytorch,https://github.com/pytorch/executorch,,Python,"[""machine-learning"",""mobile"",""embedded"",""deep-learning"",""neural-network""]",4931,,https://github.com/search?q=topic%3Amachine-learning+stars%3A%3E50&type=repositories&s=updated&o=desc,topic:machine-learning stars:>50,15,,,,,raw_2026_08_19,2026-08-19
ServiceNow/eva,ServiceNow,https://github.com/ServiceNow/eva,,Python,"[""nlp"",""machine-learning"",""tts"",""asr"",""evaluation-framework""]",196,,https://github.com/search?q=topic%3Amachine-learning+stars%3A%3E50&type=repositories&s=updated&o=desc,topic:machine-learning stars:>50,15,,,,,raw_2026_08_19,2026-08-19
netdata/netdata,netdata,https://github.com/netdata/netdata,,Go,"[""mysql"",""linux"",""docker"",""kubernetes"",""devops""]",80219,,https://github.com/search?q=topic%3Amachine-learning+stars%3A%3E50&type=repositories&s=updated&o=desc,topic:machine-learning stars:>50,15,,,,,raw_2026_08_19,2026-08-19
